subject,structure,dice_before,dice_after,delta,voxels_removed,vol_pred_ml,vol_gt_ml
amos_0005,adrenal_gland_left,0.0,0.0,0.0,0,0.0,0.67
amos_0005,adrenal_gland_right,0.5136,0.5136,0.0,0,1.51,2.3
amos_0005,aorta,0.8725,0.8725,0.0,0,110.61,113.68
amos_0005,duodenum,0.4937,0.4937,0.0,0,37.3,75.48
amos_0005,esophagus,0.4671,0.4671,0.0,0,6.15,7.45
amos_0005,gallbladder,0.5071,0.5071,0.0,0,18.46,41.57
amos_0005,inferior_vena_cava,0.5445,0.5445,0.0,0,20.97,34.99
amos_0005,kidney_left,0.0007,0.0007,0.0,0,0.33,1008.93
amos_0005,kidney_right,0.8424,0.8424,0.0,0,81.99,92.37
amos_0005,liver,0.9089,0.9089,0.0,0,753.05,725.3
amos_0005,pancreas,0.4354,0.4354,0.0,0,13.3,28.77
amos_0005,spleen,0.2592,0.2592,0.0,0,749.11,154.16
amos_0005,stomach,0.703,0.703,0.0,0,304.99,415.59
amos_0005,urinary_bladder,0.5495,0.5495,0.0,0,57.35,34.87
amos_0006,adrenal_gland_left,0.6262,0.6262,0.0,0,2.11,3.4
amos_0006,adrenal_gland_right,0.601,0.601,0.0,0,4.46,2.98
amos_0006,aorta,0.8495,0.8495,0.0,0,105.83,116.78
amos_0006,duodenum,0.0002,0.0002,0.0,0,69.48,108.55
amos_0006,esophagus,0.7923,0.7923,0.0,0,17.01,16.21
amos_0006,gallbladder,0.5263,0.5263,0.0,0,23.27,60.88
amos_0006,inferior_vena_cava,0.5426,0.5426,0.0,0,95.26,79.85
amos_0006,kidney_left,0.9357,0.9357,0.0,0,107.38,107.32
amos_0006,kidney_right,0.9404,0.9404,0.0,0,119.81,121.97
amos_0006,liver,0.9472,0.9472,0.0,0,2306.76,2246.15
amos_0006,pancreas,0.0,0.0,0.0,0,77.59,65.07
amos_0006,spleen,0.9458,0.9458,0.0,0,523.32,563.08
amos_0006,stomach,0.8694,0.8694,0.0,0,208.04,247.95
amos_0006,urinary_bladder,0.9387,0.9387,0.0,0,169.22,161.86
amos_0007,adrenal_gland_left,0.6776,0.6776,0.0,0,4.33,5.02
amos_0007,adrenal_gland_right,0.7673,0.7673,0.0,0,3.01,2.83
amos_0007,aorta,0.8767,0.8767,0.0,0,95.55,95.85
amos_0007,duodenum,0.734,0.734,0.0,0,42.5,38.92
amos_0007,esophagus,0.7466,0.7466,0.0,0,12.12,13.5
amos_0007,gallbladder,0.7661,0.7661,0.0,0,11.44,16.48
amos_0007,inferior_vena_cava,0.7609,0.7609,0.0,0,49.26,63.87
amos_0007,kidney_left,0.9225,0.9225,0.0,0,149.94,149.6
amos_0007,kidney_right,0.9334,0.9334,0.0,0,160.31,153.16
amos_0007,liver,0.9609,0.9609,0.0,0,1476.24,1514.44
amos_0007,pancreas,0.8537,0.8537,0.0,0,97.62,99.87
amos_0007,spleen,0.936,0.936,0.0,0,392.53,425.27
amos_0007,stomach,0.9,0.9,0.0,0,145.73,140.12
amos_0007,urinary_bladder,0.7306,0.7306,0.0,0,63.61,42.91
amos_0009,adrenal_gland_left,0.5341,0.5341,0.0,0,4.34,9.74
amos_0009,adrenal_gland_right,0.5126,0.5126,0.0,0,3.75,7.67
amos_0009,aorta,0.8796,0.8796,0.0,0,169.04,166.29
amos_0009,duodenum,0.5908,0.5908,0.0,0,42.11,45.91
amos_0009,esophagus,0.5015,0.5015,0.0,0,24.08,15.65
amos_0009,gallbladder,0.7435,0.7435,0.0,0,15.74,22.54
amos_0009,inferior_vena_cava,0.7833,0.7833,0.0,0,62.91,71.76
amos_0009,kidney_left,0.9434,0.9434,0.0,0,170.13,177.7
amos_0009,kidney_right,0.9399,0.9399,0.0,0,139.98,146.58
amos_0009,liver,0.9665,0.9665,0.0,0,1474.49,1495.05
amos_0009,pancreas,0.7617,0.7617,0.0,0,83.05,112.06
amos_0009,spleen,0.9447,0.9447,0.0,0,295.2,315.77
amos_0009,stomach,0.8874,0.8874,0.0,0,157.13,170.71
amos_0010,adrenal_gland_left,0.6776,0.6776,0.0,0,2.98,4.18
amos_0010,adrenal_gland_right,0.713,0.713,0.0,0,3.77,3.47
amos_0010,aorta,0.8766,0.8766,0.0,0,267.6,271.28
amos_0010,duodenum,0.4552,0.4552,0.0,0,63.8,49.84
amos_0010,esophagus,0.6352,0.6352,0.0,0,65.22,60.64
amos_0010,gallbladder,0.8273,0.8273,0.0,0,57.4,72.81
amos_0010,inferior_vena_cava,0.7725,0.7725,0.0,0,52.74,71.87
amos_0010,kidney_left,0.9369,0.9369,0.0,0,159.65,160.76
amos_0010,kidney_right,0.9398,0.9398,0.0,0,133.49,133.15
amos_0010,liver,0.9601,0.9601,0.0,0,1102.38,1115.54
amos_0010,pancreas,0.799,0.799,0.0,0,80.49,71.5
amos_0010,spleen,0.9271,0.9271,0.0,0,85.34,87.67
amos_0010,urinary_bladder,0.906,0.906,0.0,0,218.89,234.42
amos_0011,adrenal_gland_left,0.6715,0.6715,0.0,0,3.49,4.05
amos_0011,adrenal_gland_right,0.6463,0.6463,0.0,0,3.44,3.17
amos_0011,aorta,0.8929,0.8929,0.0,0,58.68,64.98
amos_0011,duodenum,0.4812,0.4812,0.0,0,42.19,82.31
amos_0011,esophagus,0.7541,0.7541,0.0,0,5.79,7.92
amos_0011,gallbladder,0.392,0.392,0.0,0,3.51,13.62
amos_0011,inferior_vena_cava,0.8687,0.8687,0.0,0,78.92,90.7
amos_0011,kidney_left,0.9326,0.9326,0.0,0,127.53,136.42
amos_0011,kidney_right,0.9295,0.9295,0.0,0,138.48,148.36
amos_0011,liver,0.9639,0.9639,0.0,0,1169.54,1191.62
amos_0011,pancreas,0.726,0.726,0.0,0,64.23,55.76
amos_0011,spleen,0.9357,0.9357,0.0,0,126.02,128.39
amos_0011,stomach,0.9056,0.9056,0.0,0,542.59,633.66
amos_0011,urinary_bladder,0.835,0.835,0.0,0,135.84,109.96
amos_0014,adrenal_gland_left,0.6126,0.6126,0.0,0,3.06,2.59
amos_0014,adrenal_gland_right,0.6761,0.6761,0.0,0,2.23,2.29
amos_0014,aorta,0.8551,0.8551,0.0,0,57.45,53.22
amos_0014,duodenum,0.7104,0.7104,0.0,0,39.17,35.79
amos_0014,esophagus,0.738,0.738,0.0,0,5.38,6.6
amos_0014,gallbladder,0.797,0.797,0.0,0,14.84,20.32
amos_0014,inferior_vena_cava,0.7337,0.7337,0.0,0,50.92,68.84
amos_0014,kidney_left,0.9159,0.9159,0.0,0,94.15,90.65
amos_0014,kidney_right,0.9114,0.9114,0.0,0,92.91,89.33
amos_0014,liver,0.9518,0.9518,0.0,0,848.58,864.35
amos_0014,pancreas,0.777,0.777,0.0,0,54.8,50.11
amos_0014,spleen,0.9289,0.9289,0.0,0,138.62,139.25
amos_0014,stomach,0.9235,0.9235,0.0,0,241.0,247.44
amos_0014,urinary_bladder,0.7713,0.7713,0.0,0,137.26,94.68
amos_0015,adrenal_gland_left,0.7609,0.7609,0.0,0,2.59,2.62
amos_0015,adrenal_gland_right,0.5414,0.5414,0.0,0,2.48,2.13
amos_0015,aorta,0.8537,0.8537,0.0,0,154.27,137.77
amos_0015,duodenum,0.7681,0.7681,0.0,0,65.14,54.96
amos_0015,esophagus,0.5406,0.5406,0.0,0,12.76,19.9
amos_0015,gallbladder,0.6842,0.6842,0.0,0,3.44,5.14
amos_0015,inferior_vena_cava,0.7597,0.7597,0.0,0,49.67,53.35
amos_0015,kidney_left,0.9166,0.9166,0.0,0,126.64,118.68
amos_0015,kidney_right,0.9111,0.9111,0.0,0,117.83,108.92
amos_0015,liver,0.9647,0.9647,0.0,0,1235.51,1256.45
amos_0015,pancreas,0.7664,0.7664,0.0,0,52.09,65.9
amos_0015,spleen,0.9238,0.9238,0.0,0,145.05,146.21
amos_0015,stomach,0.9429,0.9429,0.0,0,615.08,638.96
amos_0015,urinary_bladder,0.8284,0.8284,0.0,0,45.13,34.43
amos_0016,adrenal_gland_left,0.5489,0.5489,0.0,0,2.65,4.91
amos_0016,adrenal_gland_right,0.5084,0.5084,0.0,0,2.42,4.68
amos_0016,aorta,0.8688,0.8688,0.0,0,85.55,83.75
amos_0016,duodenum,0.6656,0.6656,0.0,0,77.79,90.16
amos_0016,esophagus,0.6374,0.6374,0.0,0,6.82,9.61
amos_0016,gallbladder,0.7072,0.7072,0.0,0,25.01,25.85
amos_0016,inferior_vena_cava,0.5918,0.5918,0.0,0,40.13,49.95
amos_0016,kidney_left,0.9189,0.9189,0.0,0,147.33,148.72
amos_0016,kidney_right,0.7916,0.7916,0.0,0,151.61,127.43
amos_0016,liver,0.9472,0.9472,0.0,0,1195.66,1227.03
amos_0016,pancreas,0.714,0.714,0.0,0,52.11,42.16
amos_0016,spleen,0.9237,0.9237,0.0,0,224.28,238.91
amos_0016,stomach,0.8882,0.8882,0.0,0,343.76,357.03
amos_0016,urinary_bladder,0.7642,0.7642,0.0,0,128.59,82.54
amos_0017,adrenal_gland_left,0.7067,0.7067,0.0,0,4.09,3.49
amos_0017,adrenal_gland_right,0.7477,0.7477,0.0,0,3.56,3.44
amos_0017,aorta,0.9139,0.9139,0.0,0,96.83,101.75
amos_0017,duodenum,0.6397,0.6397,0.0,0,59.41,51.33
amos_0017,esophagus,0.7054,0.7054,0.0,0,29.44,19.74
amos_0017,gallbladder,0.8972,0.8972,0.0,0,31.28,31.97
amos_0017,inferior_vena_cava,0.7946,0.7946,0.0,0,64.76,68.07
amos_0017,kidney_left,0.9369,0.9369,0.0,0,122.63,121.31
amos_0017,kidney_right,0.9293,0.9293,0.0,0,118.88,119.73
amos_0017,liver,0.9415,0.9415,0.0,0,889.83,938.45
amos_0017,pancreas,0.8257,0.8257,0.0,0,57.75,57.68
amos_0017,spleen,0.9269,0.9269,0.0,0,126.89,134.02
amos_0017,stomach,0.8738,0.8738,0.0,0,363.44,451.58
amos_0017,urinary_bladder,0.9036,0.9036,0.0,0,224.57,214.49
amos_0019,adrenal_gland_left,0.5398,0.5398,0.0,0,2.04,3.73
amos_0019,adrenal_gland_right,0.6035,0.6035,0.0,0,2.85,3.69
amos_0019,aorta,0.8824,0.8824,0.0,0,55.21,59.97
amos_0019,duodenum,0.6528,0.6528,0.0,0,33.61,46.41
amos_0019,esophagus,0.802,0.802,0.0,0,7.63,8.83
amos_0019,gallbladder,0.8231,0.8231,0.0,0,33.47,37.9
amos_0019,inferior_vena_cava,0.8436,0.8436,0.0,0,95.54,113.93
amos_0019,kidney_left,0.9315,0.9315,0.0,0,122.63,129.84
amos_0019,kidney_right,0.9283,0.9283,0.0,0,113.61,114.27
amos_0019,liver,0.9587,0.9587,0.0,0,1421.77,1450.83
amos_0019,pancreas,0.7364,0.7364,0.0,0,52.28,43.19
amos_0019,spleen,0.941,0.941,0.0,0,371.0,400.97
amos_0019,stomach,0.8217,0.8217,0.0,0,145.37,170.39
amos_0019,urinary_bladder,0.9298,0.9298,0.0,0,491.19,495.41
amos_0021,adrenal_gland_left,0.5238,0.5238,0.0,0,3.21,6.14
amos_0021,adrenal_gland_right,0.6023,0.6023,0.0,0,3.35,3.98
amos_0021,aorta,0.8745,0.8745,0.0,0,224.28,222.4
amos_0021,duodenum,0.5829,0.5829,0.0,0,51.23,114.64
amos_0021,esophagus,0.6256,0.6256,0.0,0,40.43,30.89
amos_0021,inferior_vena_cava,0.8316,0.8316,0.0,0,71.3,81.27
amos_0021,kidney_left,0.9372,0.9372,0.0,0,165.93,173.9
amos_0021,kidney_right,0.9398,0.9398,0.0,0,158.66,161.43
amos_0021,liver,0.9608,0.9608,0.0,0,1263.48,1264.89
amos_0021,pancreas,0.3746,0.3746,0.0,0,56.29,41.84
amos_0021,spleen,0.9502,0.9502,0.0,0,764.53,807.32
amos_0021,stomach,0.8195,0.8195,0.0,0,363.23,351.62
amos_0021,urinary_bladder,0.8433,0.8433,0.0,0,374.48,300.67
amos_0023,adrenal_gland_left,0.6427,0.6427,0.0,0,2.85,2.69
amos_0023,adrenal_gland_right,0.6015,0.6015,0.0,0,2.72,2.13
amos_0023,aorta,0.8994,0.8994,0.0,0,49.15,54.71
amos_0023,duodenum,0.6619,0.6619,0.0,0,42.03,46.93
amos_0023,esophagus,0.548,0.548,0.0,0,3.48,8.02
amos_0023,gallbladder,0.8153,0.8153,0.0,0,21.85,25.66
amos_0023,inferior_vena_cava,0.8294,0.8294,0.0,0,60.98,73.31
amos_0023,kidney_left,0.9402,0.9402,0.0,0,118.48,120.38
amos_0023,kidney_right,0.9398,0.9398,0.0,0,122.29,128.43
amos_0023,liver,0.9539,0.9539,0.0,0,1114.93,1142.6
amos_0023,pancreas,0.8016,0.8016,0.0,0,62.23,65.29
amos_0023,spleen,0.9402,0.9402,0.0,0,171.97,178.4
amos_0023,stomach,0.9067,0.9067,0.0,0,217.3,226.7
amos_0023,urinary_bladder,0.8166,0.8166,0.0,0,93.49,72.32
amos_0024,adrenal_gland_left,0.5345,0.5345,0.0,0,2.86,6.05
amos_0024,adrenal_gland_right,0.5331,0.5331,0.0,0,2.52,3.31
amos_0024,aorta,0.8854,0.8854,0.0,0,70.15,76.8
amos_0024,duodenum,0.6797,0.6797,0.0,0,49.82,60.68
amos_0024,esophagus,0.801,0.801,0.0,0,8.03,9.82
amos_0024,gallbladder,0.7744,0.7744,0.0,0,15.24,13.1
amos_0024,inferior_vena_cava,0.8107,0.8107,0.0,0,70.92,83.83
amos_0024,kidney_left,0.9237,0.9237,0.0,0,176.39,175.3
amos_0024,kidney_right,0.9147,0.9147,0.0,0,142.66,139.08
amos_0024,liver,0.9602,0.9602,0.0,0,1147.41,1181.02
amos_0024,pancreas,0.8279,0.8279,0.0,0,80.49,88.95
amos_0024,spleen,0.9393,0.9393,0.0,0,229.79,245.83
amos_0024,stomach,0.9242,0.9242,0.0,0,209.07,222.87
amos_0024,urinary_bladder,0.8855,0.8855,0.0,0,416.2,493.96
amos_0025,adrenal_gland_left,0.2471,0.2471,0.0,0,1.99,2.81
amos_0025,adrenal_gland_right,0.4329,0.4329,0.0,0,1.26,1.98
amos_0025,aorta,0.8758,0.8758,0.0,0,30.15,33.46
amos_0025,duodenum,0.2407,0.2407,0.0,0,13.64,33.94
amos_0025,esophagus,0.6786,0.6786,0.0,0,2.41,3.59
amos_0025,gallbladder,0.7573,0.7573,0.0,0,14.23,14.24
amos_0025,inferior_vena_cava,0.8665,0.8665,0.0,0,70.73,81.32
amos_0025,kidney_left,0.9182,0.9182,0.0,0,108.51,119.92
amos_0025,kidney_right,0.9219,0.9219,0.0,0,98.39,104.81
amos_0025,liver,0.9362,0.9362,0.0,0,799.97,855.5
amos_0025,pancreas,0.7913,0.7913,0.0,0,48.4,58.93
amos_0025,spleen,0.9009,0.9009,0.0,0,102.94,113.95
amos_0025,stomach,0.7585,0.7585,0.0,0,108.3,91.01
amos_0025,urinary_bladder,0.9077,0.9077,0.0,0,205.12,212.91
amos_0027,adrenal_gland_left,0.7011,0.7011,0.0,0,4.42,5.88
amos_0027,adrenal_gland_right,0.6675,0.6675,0.0,0,2.73,2.33
amos_0027,aorta,0.8764,0.8764,0.0,0,186.52,181.49
amos_0027,duodenum,0.6674,0.6674,0.0,0,46.04,65.89
amos_0027,esophagus,0.4322,0.4322,0.0,0,26.18,10.21
amos_0027,gallbladder,0.7763,0.7763,0.0,0,12.07,15.76
amos_0027,inferior_vena_cava,0.824,0.824,0.0,0,66.92,69.38
amos_0027,kidney_left,0.9339,0.9339,0.0,0,112.29,117.02
amos_0027,kidney_right,0.9356,0.9356,0.0,0,103.27,105.76
amos_0027,liver,0.9614,0.9614,0.0,0,1014.95,1041.89
amos_0027,pancreas,0.7475,0.7475,0.0,0,58.96,60.26
amos_0027,spleen,0.9218,0.9218,0.0,0,81.42,84.37
amos_0027,stomach,0.905,0.905,0.0,0,343.77,392.84
amos_0027,urinary_bladder,0.8388,0.8388,0.0,0,138.42,113.91
amos_0030,adrenal_gland_left,0.6452,0.6452,0.0,0,4.26,3.91
amos_0030,adrenal_gland_right,0.643,0.643,0.0,0,2.13,2.97
amos_0030,aorta,0.8747,0.8747,0.0,0,148.86,164.58
amos_0030,duodenum,0.7022,0.7022,0.0,0,39.35,42.07
amos_0030,esophagus,0.3259,0.3259,0.0,0,17.58,5.52
amos_0030,gallbladder,0.8901,0.8901,0.0,0,50.13,55.5
amos_0030,inferior_vena_cava,0.8245,0.8245,0.0,0,61.54,69.79
amos_0030,kidney_left,0.9428,0.9428,0.0,0,147.39,152.34
amos_0030,kidney_right,0.9419,0.9419,0.0,0,117.17,120.39
amos_0030,liver,0.9698,0.9698,0.0,0,1918.96,1956.02
amos_0030,pancreas,0.7827,0.7827,0.0,0,55.75,49.5
amos_0030,spleen,0.9443,0.9443,0.0,0,143.71,147.52
amos_0030,stomach,0.8972,0.8972,0.0,0,147.46,154.79
amos_0030,urinary_bladder,0.7433,0.7433,0.0,0,68.4,71.03
amos_0033,adrenal_gland_left,0.6478,0.6478,0.0,0,3.75,5.78
amos_0033,adrenal_gland_right,0.6247,0.6247,0.0,0,3.21,4.28
amos_0033,aorta,0.8986,0.8986,0.0,0,85.84,89.9
amos_0033,duodenum,0.7343,0.7343,0.0,0,42.82,47.12
amos_0033,esophagus,0.7425,0.7425,0.0,0,11.91,12.69
amos_0033,gallbladder,0.8752,0.8752,0.0,0,18.02,18.92
amos_0033,inferior_vena_cava,0.799,0.799,0.0,0,68.85,75.85
amos_0033,kidney_left,0.9437,0.9437,0.0,0,147.25,147.82
amos_0033,kidney_right,0.9394,0.9394,0.0,0,140.57,139.86
amos_0033,liver,0.9678,0.9678,0.0,0,1226.84,1260.33
amos_0033,pancreas,0.8215,0.8215,0.0,0,79.15,77.03
amos_0033,spleen,0.9403,0.9403,0.0,0,167.0,174.61
amos_0033,stomach,0.925,0.925,0.0,0,151.13,157.48
amos_0033,urinary_bladder,0.8592,0.8592,0.0,0,203.0,206.24
amos_0035,adrenal_gland_left,0.4855,0.4855,0.0,0,1.84,3.74
amos_0035,adrenal_gland_right,0.5756,0.5756,0.0,0,2.21,2.8
amos_0035,aorta,0.8727,0.8727,0.0,0,93.81,88.14
amos_0035,duodenum,0.6498,0.6498,0.0,0,62.45,39.74
amos_0035,esophagus,0.779,0.779,0.0,0,14.57,14.52
amos_0035,gallbladder,0.8037,0.8037,0.0,0,26.07,28.98
amos_0035,inferior_vena_cava,0.6337,0.6337,0.0,0,42.87,66.6
amos_0035,kidney_left,0.9301,0.9301,0.0,0,147.64,147.17
amos_0035,kidney_right,0.8991,0.8991,0.0,0,147.14,159.22
amos_0035,liver,0.9521,0.9521,0.0,0,1250.72,1289.69
amos_0035,pancreas,0.7528,0.7528,0.0,0,56.27,75.23
amos_0035,spleen,0.9351,0.9351,0.0,0,202.03,210.54
amos_0035,stomach,0.906,0.906,0.0,0,196.07,210.92
amos_0035,urinary_bladder,0.8599,0.8599,0.0,0,160.43,130.38
amos_0036,adrenal_gland_left,0.7539,0.7539,0.0,0,4.59,5.23
amos_0036,adrenal_gland_right,0.6187,0.6187,0.0,0,3.69,3.27
amos_0036,aorta,0.8973,0.8973,0.0,0,249.17,275.66
amos_0036,duodenum,0.7001,0.7001,0.0,0,52.13,38.45
amos_0036,esophagus,0.7396,0.7396,0.0,0,29.25,26.54
amos_0036,gallbladder,0.8485,0.8485,0.0,0,32.97,35.43
amos_0036,inferior_vena_cava,0.8371,0.8371,0.0,0,73.28,92.82
amos_0036,kidney_left,0.9343,0.9343,0.0,0,199.98,214.03
amos_0036,kidney_right,0.9429,0.9429,0.0,0,190.86,198.58
amos_0036,liver,0.9562,0.9562,0.0,0,1552.59,1571.06
amos_0036,pancreas,0.8063,0.8063,0.0,0,80.07,79.89
amos_0036,spleen,0.9518,0.9518,0.0,0,196.18,203.07
amos_0036,stomach,0.9098,0.9098,0.0,0,179.71,188.62
amos_0036,urinary_bladder,0.8709,0.8709,0.0,0,158.84,134.79
amos_0038,adrenal_gland_left,0.7376,0.7376,0.0,0,4.18,4.65
amos_0038,adrenal_gland_right,0.6708,0.6708,0.0,0,3.75,4.64
amos_0038,aorta,0.8578,0.8578,0.0,0,164.91,161.76
amos_0038,duodenum,0.7577,0.7577,0.0,0,50.73,59.17
amos_0038,esophagus,0.46,0.46,0.0,0,40.21,15.15
amos_0038,gallbladder,0.8803,0.8803,0.0,0,21.5,22.25
amos_0038,inferior_vena_cava,0.872,0.872,0.0,0,84.14,91.01
amos_0038,kidney_left,0.9379,0.9379,0.0,0,175.89,174.15
amos_0038,kidney_right,0.9258,0.9258,0.0,0,172.23,168.38
amos_0038,liver,0.9677,0.9677,0.0,0,1092.42,1102.78
amos_0038,pancreas,0.837,0.837,0.0,0,66.94,68.23
amos_0038,spleen,0.9428,0.9428,0.0,0,153.57,157.63
amos_0038,stomach,0.8953,0.8953,0.0,0,162.96,180.89
amos_0038,urinary_bladder,0.9033,0.9033,0.0,0,205.65,173.24
amos_0042,adrenal_gland_left,0.6426,0.6426,0.0,0,3.26,5.73
amos_0042,adrenal_gland_right,0.5797,0.5797,0.0,0,3.23,4.93
amos_0042,aorta,0.8966,0.8966,0.0,0,94.97,93.37
amos_0042,duodenum,0.7049,0.7049,0.0,0,55.68,57.04
amos_0042,esophagus,0.7236,0.7236,0.0,0,11.67,13.36
amos_0042,gallbladder,0.8097,0.8097,0.0,0,25.11,30.9
amos_0042,inferior_vena_cava,0.7416,0.7416,0.0,0,51.93,66.26
amos_0042,kidney_left,0.9234,0.9234,0.0,0,184.85,184.66
amos_0042,kidney_right,0.9157,0.9157,0.0,0,177.26,174.18
amos_0042,liver,0.9664,0.9664,0.0,0,1157.62,1177.7
amos_0042,pancreas,0.6983,0.6983,0.0,0,47.29,56.37
amos_0042,spleen,0.9304,0.9304,0.0,0,103.26,102.84
amos_0042,stomach,0.9108,0.9108,0.0,0,334.88,373.0
amos_0042,urinary_bladder,0.9392,0.9392,0.0,0,383.98,355.56
amos_0043,adrenal_gland_left,0.7629,0.7629,0.0,0,3.51,4.64
amos_0043,adrenal_gland_right,0.6506,0.6506,0.0,0,2.79,2.66
amos_0043,aorta,0.9012,0.9012,0.0,0,48.54,48.08
amos_0043,duodenum,0.7218,0.7218,0.0,0,60.65,49.99
amos_0043,esophagus,0.9033,0.9033,0.0,0,9.76,9.68
amos_0043,gallbladder,0.8142,0.8142,0.0,0,11.1,14.07
amos_0043,inferior_vena_cava,0.7751,0.7751,0.0,0,52.69,48.22
amos_0043,kidney_left,0.8869,0.8869,0.0,0,139.18,121.89
amos_0043,kidney_right,0.9339,0.9339,0.0,0,132.21,129.29
amos_0043,liver,0.9615,0.9615,0.0,0,1421.23,1460.79
amos_0043,pancreas,0.7913,0.7913,0.0,0,75.99,67.74
amos_0043,spleen,0.939,0.939,0.0,0,206.15,214.33
amos_0043,stomach,0.9427,0.9427,0.0,0,488.3,515.65
amos_0043,urinary_bladder,0.5555,0.5555,0.0,0,46.39,37.91
amos_0044,adrenal_gland_left,0.4319,0.4319,0.0,0,2.51,2.99
amos_0044,adrenal_gland_right,0.639,0.639,0.0,0,2.47,2.35
amos_0044,aorta,0.8874,0.8874,0.0,0,261.17,258.9
amos_0044,duodenum,0.3171,0.3171,0.0,0,42.64,55.67
amos_0044,esophagus,0.7032,0.7032,0.0,0,42.56,40.54
amos_0044,gallbladder,0.7555,0.7555,0.0,0,25.29,39.23
amos_0044,inferior_vena_cava,0.6779,0.6779,0.0,0,51.33,74.85
amos_0044,kidney_left,0.936,0.936,0.0,0,139.3,143.25
amos_0044,kidney_right,0.9364,0.9364,0.0,0,131.92,133.56
amos_0044,liver,0.9528,0.9528,0.0,0,1158.21,1184.87
amos_0044,pancreas,0.4013,0.4013,0.0,0,27.37,88.43
amos_0044,spleen,0.9359,0.9359,0.0,0,236.46,242.31
amos_0044,stomach,0.3996,0.3996,0.0,0,54.38,62.74
amos_0045,adrenal_gland_left,0.5976,0.5976,0.0,0,2.8,3.4
amos_0045,adrenal_gland_right,0.6261,0.6261,0.0,0,3.51,2.51
amos_0045,aorta,0.8323,0.8323,0.0,0,106.37,121.34
amos_0045,duodenum,0.6861,0.6861,0.0,0,55.92,56.0
amos_0045,esophagus,0.6924,0.6924,0.0,0,10.78,7.88
amos_0045,gallbladder,0.8306,0.8306,0.0,0,32.65,41.6
amos_0045,inferior_vena_cava,0.6566,0.6566,0.0,0,45.13,41.54
amos_0045,kidney_left,0.929,0.929,0.0,0,139.04,139.94
amos_0045,kidney_right,0.9202,0.9202,0.0,0,125.36,119.39
amos_0045,liver,0.9647,0.9647,0.0,0,1561.21,1591.46
amos_0045,pancreas,0.7553,0.7553,0.0,0,95.84,114.0
amos_0045,spleen,0.9529,0.9529,0.0,0,206.8,209.14
amos_0045,stomach,0.9197,0.9197,0.0,0,209.99,211.27
amos_0045,urinary_bladder,0.8105,0.8105,0.0,0,87.42,65.73
amos_0047,adrenal_gland_left,0.6366,0.6366,0.0,0,3.33,4.08
amos_0047,adrenal_gland_right,0.7364,0.7364,0.0,0,2.72,2.38
amos_0047,aorta,0.8831,0.8831,0.0,0,94.12,84.15
amos_0047,duodenum,0.4324,0.4324,0.0,0,82.73,77.92
amos_0047,esophagus,0.7179,0.7179,0.0,0,10.75,11.57
amos_0047,gallbladder,0.1478,0.1478,0.0,0,3.2,38.5
amos_0047,inferior_vena_cava,0.7053,0.7053,0.0,0,48.84,70.72
amos_0047,kidney_left,0.9229,0.9229,0.0,0,161.66,162.57
amos_0047,kidney_right,0.9167,0.9167,0.0,0,146.64,144.47
amos_0047,liver,0.9346,0.9346,0.0,0,1397.24,1454.17
amos_0047,pancreas,0.5014,0.5014,0.0,0,42.57,57.4
